iter	RMSE
0	2.011318003
1	1.956519226
2	1.91282264
3	1.863949096
4	1.818711075
5	1.770191044
6	1.725454299
7	1.682312549
8	1.641757868
9	1.606146253
10	1.568243604
11	1.533092406
12	1.497613109
13	1.463597976
14	1.432483434
15	1.405980154
16	1.378455567
17	1.348234189
18	1.321865158
19	1.295960545
20	1.271992045
21	1.24843317
22	1.224500678
23	1.202970575
24	1.182661518
25	1.16276751
26	1.145184155
27	1.126975227
28	1.111379748
29	1.094687694
30	1.081725341
31	1.066143948
32	1.052812706
33	1.03821516
34	1.02498856
35	1.012221227
36	1.001962697
37	0.9919681513
38	0.9822223313
39	0.9721755141
40	0.9612048304
41	0.9506343747
42	0.9427456462
43	0.9334924575
44	0.9254518581
45	0.9184413117
46	0.9096549932
47	0.9009425041
48	0.8938693259
49	0.8860459608
50	0.8794131248
51	0.8726744024
52	0.8678513963
53	0.8620209982
54	0.8564795697
55	0.8515388854
56	0.8468678533
57	0.8404857113
58	0.8350408894
59	0.8294080095
60	0.8256935334
61	0.8216964887
62	0.8178525534
63	0.8134712709
64	0.8092673153
65	0.8057865333
66	0.8019918881
67	0.7982370976
68	0.7946567452
69	0.791621429
70	0.7882801308
71	0.7851741217
72	0.782489713
73	0.7795394493
74	0.7771337815
75	0.7735010062
76	0.7710414086
77	0.7687463828
78	0.7663372268
79	0.7641475354
80	0.7623562768
81	0.7601746202
82	0.7582144728
83	0.7569251512
84	0.7542943416
85	0.7518094813
86	0.7486242998
87	0.7469911363
88	0.7447188083
89	0.7432705802
90	0.7415501976
91	0.7400738041
92	0.7378428398
93	0.7355479182
94	0.7338233618
95	0.7323958562
96	0.7303218988
97	0.729457208
98	0.7267260416
99	0.7248174735
100	0.7228464347
101	0.7216496675
102	0.7204286418
103	0.7181059827
104	0.7166099096
105	0.7150843
106	0.7143159554
107	0.7134355882
108	0.7112409022
109	0.7104179321
110	0.7090214764
111	0.7067219976
112	0.7047668106
113	0.7037120451
114	0.7029891866
115	0.7018047433
116	0.7011722278
117	0.7000743422
118	0.6984529394
119	0.6976963614
120	0.6964538083
121	0.6951796537
122	0.693804978
123	0.6929072188
124	0.6915121539
125	0.6906681433
126	0.6904105206
127	0.6898615834
128	0.689223559
129	0.6875939287
130	0.686959077
131	0.6863330885
132	0.6852246321
133	0.6843032433
134	0.6838973895
135	0.6826446416
136	0.6814431593
137	0.6807538055
138	0.6796803137
139	0.6789804624
140	0.6784994444
141	0.6779071451
142	0.6774845905
143	0.6762135186
144	0.6752496958
145	0.674028861
146	0.6731961096
147	0.6721638118
148	0.6708259287
149	0.6700194254
150	0.6694240495
151	0.6684822063
152	0.667647224
153	0.6670223315
154	0.6660846147
155	0.6653328209
156	0.6645558802
157	0.6642526848
158	0.6636231238
159	0.6632965386
160	0.6619212826
161	0.6614812356
162	0.6606751723
163	0.6601347122
164	0.6593785597
165	0.6590174723
166	0.6587849778
167	0.6578628627
168	0.6572461321
169	0.6560540906
170	0.655473847
171	0.6545117331
172	0.653729402
173	0.6530898245
174	0.6528949222
175	0.6524548046
176	0.6523224443
177	0.6516751055
178	0.651182523
179	0.6505422539
180	0.6502413237
181	0.650014058
182	0.6492720055
183	0.6488796223
184	0.6485509846
185	0.6479266453
186	0.6476631403
187	0.6470890482
188	0.6466900512
189	0.646283531
190	0.6456529104
191	0.6444623099
192	0.6438161165
193	0.6426486636
194	0.6414428572
195	0.6409489185
196	0.6402313425
197	0.6389687756
198	0.6382050267
199	0.6380422917
200	0.637472831
201	0.6371431501
202	0.6363259938
203	0.6353513465
204	0.6348417831
205	0.634532187
206	0.6334407262
207	0.6325999812
208	0.6319588087
209	0.6315570321
210	0.6312307183
211	0.630810129
212	0.6303172685
213	0.6300610134
214	0.6294166092
215	0.6292081808
216	0.6289893444
217	0.6284620154
218	0.6280295079
219	0.6278872192
220	0.6269466408
221	0.6266212793
222	0.6261350155
223	0.6253412512
224	0.6243462437
225	0.6239524165
226	0.6234978426
227	0.6231616101
228	0.6229666165
229	0.6226910402
230	0.6225769317
231	0.6224333996
232	0.6217587825
233	0.6216309747
234	0.6214744744
235	0.6214005526
236	0.6203413928
237	0.6201542948
238	0.6196348862
239	0.6184670047
240	0.6178170057
241	0.6176728862
242	0.6174985514
243	0.6172330896
244	0.6168357247
245	0.6167020835
246	0.615722804
247	0.6155293281
248	0.6145257074
249	0.6141777888
250	0.6138414765
251	0.6135313143
252	0.6134370004
253	0.6130363291
254	0.6125974235
255	0.6124287637
256	0.612241971
257	0.6118920759
258	0.6117081964
259	0.6116527291
260	0.6115410828
261	0.6114604418
262	0.611258272
263	0.611060829
264	0.6102468836
265	0.610071074
266	0.6100228366
267	0.6098980204
268	0.6093370208
269	0.6084202857
270	0.6083807108
271	0.6082164153
272	0.6079023291
273	0.6070116293
274	0.6068785986
275	0.6063528186
276	0.6059125499
277	0.6058393182
278	0.6049502369
279	0.604778728
280	0.6047052992
281	0.604080604
282	0.6032487059
283	0.6024576082
284	0.6017736167
285	0.6013434974
286	0.6010234325
287	0.6005023266
288	0.5999004612
289	0.5996678386
290	0.5993621456
291	0.5992346029
292	0.5985123124
293	0.5981384629
294	0.5975449448
295	0.5964383706
296	0.5956919197
297	0.5954249666
298	0.5953322633
299	0.5951824859
300	0.5945148625
301	0.5939638494
302	0.5938355996
303	0.5932657576
304	0.5926769123
305	0.592415392
306	0.5920802129
307	0.5920192397
308	0.5917134147
309	0.5913599215
310	0.5906839831
311	0.5900177974
312	0.5895165926
313	0.5889236081
314	0.5888387427
315	0.5884060236
316	0.587841269
317	0.5877813472
318	0.587549105
319	0.5875178972
320	0.5866096142
321	0.5858662794
322	0.5852301235
323	0.5840159243
324	0.5838659612
325	0.5830452064
326	0.5825731182
327	0.5819903257
328	0.5815225426
329	0.5813127816
330	0.580697647
331	0.5796656051
332	0.5792864672
333	0.5784645971
334	0.5781511227
335	0.57810238
336	0.5775586273
337	0.5773084228
338	0.5770961962
339	0.5760496441
340	0.575940284
341	0.5756731622
342	0.5751584634
343	0.5750571346
344	0.5748957778
345	0.5746020371
346	0.5743671813
347	0.5732504398
348	0.5724804312
349	0.5722703228
350	0.5716223117
351	0.5708513982
352	0.5700895719
353	0.5694244777
354	0.5691402451
355	0.5685594313
356	0.5681851237
357	0.5678823863
358	0.5678542345
359	0.5666673418
360	0.5664892753
361	0.5659369321
362	0.5649976598
363	0.564591239
364	0.564191079
365	0.5632473662
366	0.5632132568
367	0.5629836542
368	0.5628234705
369	0.5621140296
370	0.5616300962
371	0.5609307259
372	0.5605992507
373	0.5603998071
374	0.5602433744
375	0.5598991725
376	0.5597848189
377	0.5597373997
378	0.5595624496
379	0.5588997202
380	0.558688297
381	0.5576854724
382	0.5571544308
383	0.5567292071
384	0.5562488297
385	0.5556747319
386	0.554985841
387	0.5548453891
388	0.5548003999
389	0.5541467379
390	0.5536053014
391	0.553437895
392	0.5529470203
393	0.5526773856
394	0.5524231987
395	0.5523178351
396	0.5520841421
397	0.5518524991
398	0.5513777417
399	0.5510747382
400	0.5510342994
401	0.5504538356
402	0.5497915933
403	0.5496086921
404	0.5489224725
405	0.548244865
406	0.5481447072
407	0.5475926778
408	0.5470129113
409	0.5463370498
410	0.5460849516
411	0.5455004153
412	0.5448512091
413	0.5443924449
414	0.5441467011
415	0.5439753223
416	0.5432537884
417	0.5430323808
418	0.5423573519
419	0.5418060046
420	0.5414933893
421	0.5412993407
422	0.5407997121
423	0.5404918958
424	0.5404778321
425	0.5400055106
426	0.5398419176
427	0.5396778672
428	0.5396507394
429	0.5388823742
430	0.5382923693
431	0.5379438614
432	0.5374868773
433	0.5370548535
434	0.5365908809
435	0.5361201004
436	0.5357593232
437	0.5352306002
438	0.5351352333
439	0.5350030064
440	0.5348843431
441	0.5348487599
442	0.534495749
443	0.5336753252
444	0.5332526285
445	0.5327109076
446	0.5317512646
447	0.5312587256
448	0.5309307898
449	0.5305337579
450	0.5300112073
451	0.529634898
452	0.5292744061
453	0.5289283795
454	0.5287130531
455	0.5283655106
456	0.5281286413
457	0.5276395645
458	0.526886628
459	0.5265300032
460	0.5261547947
461	0.5256863398
462	0.5251401897
463	0.5245879123
464	0.5240586365
465	0.5236261443
466	0.5232820176
467	0.5228503696
468	0.5224356491
469	0.5218324144
470	0.5217112472
471	0.521352447
472	0.5213232633
473	0.5208179586
474	0.5203514945
475	0.5199571238
476	0.5196095563
477	0.5191792948
478	0.5189296429
479	0.5186364082
480	0.5185222949
481	0.5181623902
482	0.5178558833
483	0.5171663132
484	0.5167479202
485	0.5163504654
486	0.5157948182
487	0.5155610025
488	0.5151461297
489	0.51505735
490	0.5142298313
491	0.5141899949
492	0.5137570904
493	0.5130622331
494	0.5125233408
495	0.5120967269
496	0.5118370913
497	0.5118178536
498	0.5115996804
499	0.511350685
500	0.5107129847
501	0.5104558318
502	0.5101855184
503	0.5099566982
504	0.509443174
505	0.5089701566
506	0.5084983884
507	0.5081412065
508	0.5080587269
509	0.5078286906
510	0.5073620364
511	0.5068353579
512	0.5064502081
513	0.5060993252
514	0.5055143667
515	0.5052968074
516	0.5048466038
517	0.5044760448
518	0.5040663636
519	0.5038293816
520	0.5035106635
521	0.5031187674
522	0.503027647
523	0.502997427
524	0.5026891253
525	0.5024228131
526	0.5019043384
527	0.5014191037
528	0.5010135578
529	0.5007079935
530	0.5005720563
531	0.5002752995
532	0.50005281
533	0.4994855154
534	0.4987942034
535	0.4983923612
536	0.4980639156
537	0.4977004638
538	0.497019151
539	0.4966606158
540	0.4964739137
541	0.4961495602
542	0.4959528085
543	0.4958061316
544	0.4950977389
545	0.4949337744
546	0.4946703358
547	0.494480697
548	0.4943339469
549	0.4939661127
550	0.493689858
551	0.4936120557
552	0.4933381476
553	0.4930031282
554	0.4927993521
555	0.4922779359
556	0.4919159532
557	0.4914455392
558	0.4910927218
559	0.4906096147
560	0.4902937698
561	0.4897085396
562	0.4895409635
563	0.488966982
564	0.4887466111
565	0.488350749
566	0.4881099161
567	0.4875570215
568	0.4875305251
569	0.4872813166
570	0.4868751991
571	0.486434235
572	0.4860907165
573	0.4855087104
574	0.4849975172
575	0.484763849
576	0.4843976835
577	0.48417543
578	0.4840603435
579	0.4837307937
580	0.4833127213
581	0.4829373469
582	0.4826796317
583	0.4826092702
584	0.4820948108
585	0.4818372329
586	0.4816247724
587	0.4813335421
588	0.4808173033
589	0.4805246159
590	0.4803496253
591	0.4800511322
592	0.4797734244
593	0.4794996711
594	0.4790141368
595	0.4786314937
596	0.4783885148
597	0.4782207961
598	0.4781868685
599	0.4779925151
600	0.4777736337
601	0.4776890951
602	0.4773746986
603	0.4770364294
604	0.476450379
605	0.4764058267
606	0.4762945286
607	0.4761507561
608	0.4756346527
609	0.475478166
610	0.4750963121
611	0.4745730878
612	0.4741372174
613	0.4736185324
614	0.4731865754
615	0.473040013
616	0.473019307
617	0.4726575851
618	0.4722519109
619	0.4721411015
620	0.4718391181
621	0.4715797897
622	0.4710613528
623	0.4707884963
624	0.47040688
625	0.4702075412
626	0.4699600008
627	0.469649832
628	0.4693565492
629	0.4689843049
630	0.4688291789
631	0.4686246315
632	0.4683344655
633	0.4680891013
634	0.4675968113
635	0.4671906612
636	0.4670896867
637	0.4669128121
638	0.4665341665
639	0.4662852428
640	0.4660709857
641	0.4656760109
642	0.4653581036
643	0.4651758794
644	0.4647959572
645	0.464501066
646	0.4641746821
647	0.4640731763
648	0.4638921626
649	0.4635920324
650	0.4634409911
651	0.4632240557
652	0.4632109019
653	0.462924165
654	0.4626277844
655	0.462312763
656	0.4620935136
657	0.4616578308
658	0.4616435643
659	0.4614738461
660	0.4611158516
661	0.4609688418
662	0.4606912938
663	0.460569495
664	0.4603665569
665	0.4600665468
666	0.4596023148
667	0.4594769171
668	0.4593546455
669	0.4591167204
670	0.4588821539
671	0.4584216252
672	0.4582177061
673	0.4580085935
674	0.4575842549
675	0.4574984295
676	0.4572623493
677	0.4570196106
678	0.4568422593
679	0.4565316128
680	0.4562951563
681	0.4558346413
682	0.4557958425
683	0.455602925
684	0.4554538687
685	0.4551317507
686	0.4546275623
687	0.4545291426
688	0.4544726145
689	0.4542773174
690	0.4539738506
691	0.4536534876
692	0.4534845625
693	0.4531561075
694	0.45301474
695	0.4528153211
696	0.4526198164
697	0.4521268937
698	0.4518234501
699	0.4518043029
700	0.451605077
701	0.4514480375
702	0.4513411686
703	0.4513287825
704	0.4512589147
705	0.4511048348
706	0.450774905
707	0.4505558577
708	0.4503724115
709	0.4503567639
710	0.450205328
711	0.4500142694
712	0.4499967796
713	0.449814552
714	0.4493939163
715	0.4489601596
716	0.4488241913
717	0.4486388284
718	0.4482282823
719	0.4482119402
720	0.4478929124
721	0.447627277
722	0.4474432313
723	0.447170881
724	0.4470777281
725	0.44685471
726	0.4466396233
727	0.4464243851
728	0.4462865161
729	0.4460646486
730	0.4459234367
731	0.4459083676
732	0.4457240073
733	0.4452438846
734	0.4452035209
735	0.4450553299
736	0.4446849544
737	0.4445644179
738	0.4444814044
739	0.4441705581
740	0.4441569579
741	0.4437811695
742	0.4433499963
743	0.4432594636
744	0.4430741274
745	0.4429982868
746	0.4427847121
747	0.4426847787
748	0.442302381
749	0.4419765721
750	0.4418347435
751	0.441625059
752	0.4414914398
753	0.4413654909
754	0.4411028186
755	0.4410303087
756	0.4409184787
757	0.4407209982
758	0.4405295011
759	0.4402031184
760	0.4400355768
761	0.4399594797
762	0.439824858
763	0.4396943874
764	0.4395544728
765	0.4394133524
766	0.4391282174
767	0.4389019868
768	0.4385407284
769	0.4383522154
770	0.4383368017
771	0.438114209
772	0.437821213
773	0.4374863229
774	0.4371215943
775	0.4371068045
776	0.4368348271
777	0.4364309738
778	0.4363087916
779	0.4359832624
780	0.4357614307
781	0.4356371495
782	0.4353817554
783	0.4349702145
784	0.4347590205
785	0.4343950477
786	0.4339852415
787	0.4336965641
788	0.4336837751
789	0.4334792357
790	0.433211502
791	0.4328376884
792	0.4325172769
793	0.432299989
794	0.4321582038
795	0.432023549
796	0.4317929024
797	0.4314665686
798	0.4313063103
799	0.4309775725
800	0.4307209494
801	0.4304980272
802	0.4302698611
803	0.4300409864
804	0.4298928931
805	0.4296590071
806	0.4295779806
807	0.4294887583
808	0.4292889945
809	0.4290196483
810	0.4286875932
811	0.4285059538
812	0.4282342297
813	0.428077367
814	0.4279365993
815	0.4277298162
816	0.4276680007
817	0.4275011254
818	0.4273110049
819	0.4271656946
820	0.427153336
821	0.4268489982
822	0.4268388493
823	0.4267092672
824	0.4263553096
825	0.4263131073
826	0.4262082235
827	0.4260206175
828	0.4257421614
829	0.4257333183
830	0.4253931311
831	0.4252442091
832	0.4248680525
833	0.424827058
834	0.4246008133
835	0.4244664021
836	0.4242321337
837	0.4241927169
838	0.4241819396
839	0.424143403
840	0.4240436801
841	0.423669157
842	0.4235861878
843	0.4232992623
844	0.4232233188
845	0.4230063099
846	0.4226204347
847	0.4225500358
848	0.4223745723
849	0.4219990299
850	0.4218895586
851	0.4216323257
852	0.4214504682
853	0.42099766
854	0.4208411308
855	0.4204425944
856	0.4201264111
857	0.4199507286
858	0.4196247997
859	0.4193596746
860	0.4190274885
861	0.4188953294
862	0.4185494683
863	0.4183676808
864	0.4180753861
865	0.4177755971
866	0.4174921692
867	0.4172634184
868	0.41678805
869	0.4167071593
870	0.4165811233
871	0.4163423588
872	0.4161116507
873	0.4160912052
874	0.415832573
875	0.4155018007
876	0.4152423251
877	0.4149882838
878	0.4148122778
879	0.4147559943
880	0.4146295055
881	0.4145848567
882	0.4143310518
883	0.4140328533
884	0.4136573592
885	0.4134449663
886	0.4132321691
887	0.4128473403
888	0.4126091451
889	0.4125854428
890	0.4123864953
891	0.4123569886
892	0.412252102
893	0.4120400953
894	0.4118833804
895	0.4116350487
896	0.4115462704
897	0.4114261272
898	0.4111913892
899	0.4109690066
900	0.4107801217
901	0.4106740162
902	0.4104370126
903	0.4103522873
904	0.4101697878
905	0.4100481223
906	0.4100425092
907	0.4100196854
908	0.4100108043
909	0.4098722407
910	0.409643977
911	0.4094578196
912	0.4094434873
913	0.4094314829
914	0.4093585703
915	0.4092944567
916	0.4089986745
917	0.4087705387
918	0.4085496906
919	0.4084297218
920	0.4082781273
921	0.4080001933
922	0.4078284051
923	0.4077101026
924	0.4076722176
925	0.407413179
926	0.4071864219
927	0.4070425144
928	0.4068957283
929	0.4068237254
930	0.4067912428
931	0.4066836246
932	0.4063321941
