iter	Passed	Remaining
0	53	53927
1	57	28467
2	60	20232
3	65	16191
4	67	13471
5	71	11859
6	79	11344
7	82	10285
8	85	9395
9	88	8722
10	91	8236
11	97	7999
12	102	7778
13	105	7418
14	107	7065
15	111	6869
16	116	6763
17	120	6560
18	129	6705
19	136	6704
20	143	6697
21	147	6558
22	150	6410
23	153	6232
24	155	6045
25	156	5846
26	157	5678
27	158	5502
28	159	5355
29	168	5459
30	170	5318
31	174	5277
32	177	5194
33	180	5123
34	182	5030
35	185	4974
36	191	4989
37	192	4875
38	194	4785
39	195	4689
40	196	4605
41	198	4529
42	200	4458
43	202	4395
44	203	4327
45	205	4252
46	205	4176
47	206	4099
48	207	4028
49	208	3962
50	211	3933
51	212	3879
52	214	3830
53	215	3782
54	217	3734
55	219	3694
56	220	3645
57	221	3595
58	222	3550
59	223	3506
60	224	3458
61	226	3423
62	228	3397
63	229	3362
64	231	3326
65	232	3287
66	233	3246
67	233	3204
68	234	3163
69	235	3125
70	235	3087
71	236	3050
72	237	3015
73	238	2981
74	238	2947
75	239	2917
76	240	2885
77	241	2854
78	242	2824
79	242	2793
80	243	2765
81	244	2736
82	245	2709
83	246	2683
84	246	2656
85	247	2630
86	248	2604
87	248	2578
88	249	2554
89	250	2530
90	250	2506
91	251	2483
92	252	2462
93	253	2440
94	253	2418
95	254	2397
96	255	2376
97	255	2353
98	256	2333
99	257	2320
100	258	2299
101	259	2282
102	260	2266
103	261	2251
104	262	2234
105	263	2218
106	263	2203
107	264	2188
108	265	2171
109	267	2161
110	268	2146
111	268	2131
112	270	2119
113	270	2105
114	271	2090
115	272	2075
116	273	2061
117	273	2046
118	274	2032
119	275	2018
120	275	2004
121	276	1991
122	277	1978
123	278	1965
124	278	1952
125	279	1941
126	280	1928
127	281	1915
128	281	1903
129	282	1892
130	283	1880
131	285	1880
132	286	1868
133	287	1857
134	288	1845
135	288	1834
136	289	1823
137	290	1812
138	290	1801
139	291	1791
140	292	1781
141	293	1771
142	293	1760
143	294	1751
144	295	1741
145	296	1732
146	297	1726
147	298	1717
148	299	1708
149	299	1699
150	300	1689
151	301	1681
152	302	1673
153	302	1664
154	303	1655
155	304	1647
156	305	1639
157	306	1631
158	306	1623
159	307	1614
160	308	1606
161	309	1598
162	309	1590
163	310	1583
164	311	1575
165	312	1567
166	312	1559
167	313	1552
168	314	1545
169	314	1537
170	316	1535
171	317	1530
172	318	1524
173	319	1516
174	320	1509
175	321	1503
176	321	1494
177	322	1487
178	322	1481
179	323	1474
180	324	1467
181	325	1461
182	325	1454
183	326	1448
184	327	1441
185	328	1436
186	329	1430
187	329	1424
188	330	1417
189	331	1411
190	332	1407
191	333	1401
192	333	1396
193	334	1390
194	335	1384
195	336	1378
196	336	1373
197	337	1367
198	338	1361
199	338	1355
200	339	1350
201	340	1345
202	341	1339
203	342	1334
204	342	1329
205	343	1324
206	344	1319
207	345	1314
208	345	1309
209	346	1303
210	347	1298
211	347	1293
212	348	1288
213	349	1283
214	350	1278
215	350	1273
216	351	1267
217	352	1263
218	352	1258
219	353	1253
220	354	1248
221	355	1244
222	355	1239
223	356	1235
224	357	1230
225	357	1225
226	358	1221
227	359	1217
228	361	1218
229	363	1215
230	364	1214
231	366	1212
232	367	1210
233	368	1206
234	369	1202
235	370	1198
236	370	1194
237	371	1189
238	372	1185
239	373	1181
240	373	1177
241	374	1173
242	375	1169
243	376	1165
244	376	1161
245	377	1157
246	378	1154
247	379	1150
248	380	1146
249	380	1142
250	381	1138
251	382	1134
252	382	1130
253	383	1126
254	384	1122
255	385	1119
256	385	1115
257	386	1111
258	387	1107
259	387	1104
260	388	1100
261	389	1096
262	390	1093
263	390	1089
264	391	1085
265	392	1082
266	393	1078
267	393	1075
268	394	1072
269	395	1069
270	395	1065
271	396	1061
272	397	1058
273	398	1055
274	399	1052
275	399	1048
276	400	1045
277	401	1042
278	401	1038
279	402	1035
280	403	1032
281	404	1028
282	404	1025
283	405	1022
284	406	1019
285	407	1016
286	407	1013
287	408	1010
288	409	1007
289	410	1004
290	410	1001
291	412	1000
292	413	997
293	414	995
294	415	993
295	416	991
296	417	989
297	419	987
298	420	985
299	420	982
300	421	979
301	422	976
302	423	973
303	423	970
304	424	967
305	425	964
306	426	961
307	426	958
308	427	955
309	428	953
310	428	950
311	429	947
312	430	944
313	431	942
314	431	939
315	432	936
316	433	933
317	434	930
318	434	928
319	435	925
320	436	922
321	437	920
322	437	917
323	438	914
324	439	912
325	440	910
326	441	909
327	442	906
328	443	904
329	444	901
330	444	898
331	445	896
332	446	893
333	446	891
334	447	888
335	448	886
336	449	883
337	449	881
338	450	878
339	451	876
340	452	873
341	452	871
342	453	869
343	454	866
344	455	864
345	456	862
346	456	859
347	457	857
348	458	854
349	459	852
350	459	850
351	460	848
352	461	845
353	462	843
354	462	841
355	463	838
356	464	836
357	465	834
358	465	831
359	466	829
360	467	827
361	468	824
362	468	822
363	469	820
364	471	820
365	472	818
366	473	815
367	473	813
368	474	811
369	475	809
370	475	806
371	476	804
372	477	802
373	478	800
374	478	798
375	479	795
376	480	793
377	481	791
378	481	789
379	482	787
380	483	785
381	484	783
382	484	780
383	485	778
384	486	776
385	487	774
386	487	772
387	488	770
388	489	768
389	490	766
390	490	764
391	491	762
392	492	760
393	492	758
394	493	756
395	494	753
396	495	751
397	495	749
398	496	748
399	497	745
400	498	743
401	498	742
402	499	740
403	500	738
404	501	736
405	501	734
406	502	732
407	503	730
408	503	728
409	504	726
410	505	724
411	506	723
412	507	721
413	509	721
414	510	719
415	512	719
416	513	717
417	513	715
418	514	713
419	515	711
420	515	709
421	516	707
422	517	705
423	518	703
424	519	702
425	520	701
426	521	699
427	522	697
428	522	695
429	523	694
430	524	692
431	525	690
432	526	689
433	527	687
434	527	685
435	528	684
436	529	682
437	530	680
438	530	678
439	531	676
440	532	674
441	533	672
442	533	671
443	534	669
444	535	667
445	536	665
446	536	663
447	537	662
448	538	660
449	539	659
450	540	657
451	540	655
452	541	654
453	542	652
454	542	650
455	543	648
456	544	647
457	545	645
458	546	643
459	547	642
460	547	640
461	548	638
462	549	637
463	550	635
464	550	633
465	551	632
466	552	630
467	552	628
468	553	626
469	554	625
470	555	623
471	555	621
472	556	620
473	557	618
474	558	617
475	559	615
476	560	614
477	560	612
478	561	610
479	562	609
480	562	607
481	563	605
482	564	603
483	565	602
484	565	600
485	566	599
486	567	597
487	568	596
488	568	594
489	569	592
490	570	591
491	570	589
492	571	587
493	572	586
494	573	584
495	573	583
496	574	581
497	575	579
498	575	578
499	576	576
500	577	574
501	578	573
502	578	571
503	579	570
504	580	568
505	581	567
506	582	565
507	583	564
508	583	563
509	584	561
510	586	560
511	586	559
512	587	557
513	588	556
514	589	555
515	590	553
516	591	552
517	592	550
518	592	549
519	593	548
520	594	546
521	595	545
522	596	543
